model,sim_time,arrival_mean,service_mean,num_nurses,seed,total_arrived,total_served,average_wait,average_system_time,utilization,max_queue_length,average_wait_red,average_wait_yellow,average_wait_green,scenario_group,scenario_name
fifo,1000,4,4,1,8000,265,246,43.023761289585096,46.95669431644415,0.9675015246073272,28,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8001,282,244,98.11942833978989,102.16343163460746,0.9867368039354883,44,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8002,237,224,10.931706798298901,14.656943360764682,0.8344529899923352,15,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8003,246,229,42.417039497222184,46.59758941174999,0.9573459304268666,25,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8004,228,228,11.743206356226322,15.446312473255853,0.8443081946827331,10,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8005,233,224,21.45082757654156,25.37958998139314,0.8800427786867542,22,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8006,248,234,23.338672567164565,27.066778990768398,0.8723769031232964,21,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8007,268,257,50.434615559949314,54.25132443692445,0.9808941813826101,29,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8008,245,219,66.56120217092824,70.93067530983062,0.956914617419621,29,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8009,277,228,94.49080164077782,98.63430972668611,0.9447198435870907,56,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8010,244,244,34.5173987804184,38.45401180752756,0.9605335786146347,17,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8011,227,217,16.666850868437383,20.902797172516866,0.9192003479852485,12,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8012,258,239,79.16317686457862,83.24509504058432,0.9755784440653643,37,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8013,224,199,62.51351268220622,67.33910934364826,0.9602937356269652,26,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8014,256,252,40.2535980384729,44.00657237168613,0.9457495319697323,23,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8015,261,228,27.064321872503008,31.034803253378488,0.9052697548396096,33,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8016,230,198,98.0356090274982,102.53427537481448,0.8907359367686271,47,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
fifo,1000,4,4,1,8017,224,217,49.14071890016889,53.26057593608755,0.8940089767943482,25,,,,load_comparison_one_nurse,fifo_one_nurse_arrival_4
